Configuration,Accuracy,Precision,Recall,F1 Score
"config=3,  shuffle=True, pca=True, scal=False, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=3,  shuffle=True, pca=False, scal=True, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=3,  shuffle=True, pca=False, scal=False, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=5,  shuffle=True, pca=True, scal=True, minmax=False, lasso=True",0.583333333,0.791666667,0.5,0.368421053
"config=5,  shuffle=True, pca=True, scal=True, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=5,  shuffle=True, pca=True, scal=False, minmax=True, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=5,  shuffle=True, pca=True, scal=False, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=5,  shuffle=True, pca=False, scal=True, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=5,  shuffle=True, pca=False, scal=False, minmax=True, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=5,  shuffle=True, pca=False, scal=False, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=6,  shuffle=True, pca=True, scal=True, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=6,  shuffle=True, pca=True, scal=False, minmax=True, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=6,  shuffle=True, pca=False, scal=True, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=6,  shuffle=True, pca=False, scal=False, minmax=True, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=7,  shuffle=True, pca=True, scal=False, minmax=True, lasso=True",0.583333333,0.55,0.528571429,0.495798319
"config=7,  shuffle=True, pca=True, scal=False, minmax=True, lasso=False",0.583333333,0.545454545,0.514285714,0.444444444
"config=7,  shuffle=True, pca=False, scal=True, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=7,  shuffle=True, pca=False, scal=False, minmax=True, lasso=True",0.583333333,0.55,0.528571429,0.495798319
"config=8,  shuffle=True, pca=True, scal=True, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=8,  shuffle=True, pca=True, scal=False, minmax=True, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=8,  shuffle=True, pca=True, scal=False, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=8,  shuffle=True, pca=False, scal=True, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=8,  shuffle=True, pca=False, scal=False, minmax=True, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=8,  shuffle=True, pca=False, scal=False, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=9,  shuffle=True, pca=True, scal=True, minmax=False, lasso=True",0.583333333,0.791666667,0.5,0.368421053
"config=9,  shuffle=True, pca=True, scal=True, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=9,  shuffle=True, pca=False, scal=True, minmax=False, lasso=True",0.583333333,0.791666667,0.5,0.368421053
"config=9,  shuffle=True, pca=False, scal=True, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=10,  shuffle=True, pca=True, scal=True, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=10,  shuffle=True, pca=True, scal=False, minmax=True, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=10,  shuffle=True, pca=True, scal=False, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=10,  shuffle=True, pca=False, scal=True, minmax=False, lasso=True",0.583333333,0.545454545,0.514285714,0.444444444
"config=10,  shuffle=True, pca=False, scal=True, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=10,  shuffle=True, pca=False, scal=False, minmax=True, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=10,  shuffle=True, pca=False, scal=False, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=11,  shuffle=True, pca=True, scal=True, minmax=False, lasso=True",0.583333333,0.791666667,0.5,0.368421053
"config=11,  shuffle=True, pca=True, scal=True, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=11,  shuffle=True, pca=True, scal=False, minmax=True, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=11,  shuffle=True, pca=True, scal=False, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=11,  shuffle=True, pca=False, scal=True, minmax=False, lasso=True",0.583333333,0.791666667,0.5,0.368421053
"config=11,  shuffle=True, pca=False, scal=True, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=11,  shuffle=True, pca=False, scal=False, minmax=True, lasso=True",0.583333333,0.545454545,0.514285714,0.444444444
"config=11,  shuffle=True, pca=False, scal=False, minmax=True, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=11,  shuffle=True, pca=False, scal=False, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=12,  shuffle=True, pca=True, scal=False, minmax=True, lasso=False",0.583333333,0.545454545,0.514285714,0.444444444
"config=12,  shuffle=True, pca=True, scal=False, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=12,  shuffle=True, pca=False, scal=True, minmax=False, lasso=False",0.583333333,0.791666667,0.5,0.368421053
"config=4,  shuffle=True, pca=True, scal=True, minmax=False, lasso=False",0.581885203,0.789501591,0.508054523,0.382542712
"config=4,  shuffle=True, pca=False, scal=True, minmax=False, lasso=False",0.581885203,0.789501591,0.508054523,0.382542712
"config=4,  shuffle=True, pca=False, scal=False, minmax=True, lasso=False",0.581885203,0.789501591,0.508054523,0.382542712
"config=1,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.571428571,0.472222222,0.485576923,0.445747801
"config=1,  shuffle=False, pca=False, scal=False, minmax=False, lasso=False",0.571428571,0.3,0.461538462,0.363636364
"config=2,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.571428571,0.472222222,0.485576923,0.445747801
"config=2,  shuffle=False, pca=False, scal=False, minmax=False, lasso=False",0.571428571,0.3,0.461538462,0.363636364
"config=5,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.571428571,0.472222222,0.485576923,0.445747801
"config=6,  shuffle=False, pca=False, scal=False, minmax=False, lasso=False",0.571428571,0.3,0.461538462,0.363636364
"config=7,  shuffle=False, pca=False, scal=True, minmax=False, lasso=False",0.571428571,0.3,0.461538462,0.363636364
"config=9,  shuffle=False, pca=True, scal=True, minmax=False, lasso=True",0.571428571,0.3,0.461538462,0.363636364
"config=9,  shuffle=False, pca=True, scal=False, minmax=False, lasso=False",0.571428571,0.3,0.461538462,0.363636364
"config=9,  shuffle=False, pca=False, scal=True, minmax=False, lasso=True",0.571428571,0.3,0.461538462,0.363636364
"config=9,  shuffle=False, pca=False, scal=False, minmax=False, lasso=False",0.571428571,0.3,0.461538462,0.363636364
"config=12,  shuffle=False, pca=False, scal=False, minmax=False, lasso=False",0.571428571,0.3,0.461538462,0.363636364
"config=1,  shuffle=True, pca=True, scal=False, minmax=False, lasso=False",0.541666667,0.282608696,0.464285714,0.351351351
"config=1,  shuffle=True, pca=False, scal=False, minmax=False, lasso=False",0.541666667,0.282608696,0.464285714,0.351351351
"config=2,  shuffle=True, pca=True, scal=False, minmax=False, lasso=False",0.541666667,0.282608696,0.464285714,0.351351351
"config=2,  shuffle=True, pca=False, scal=False, minmax=False, lasso=False",0.541666667,0.282608696,0.464285714,0.351351351
"config=3,  shuffle=True, pca=True, scal=True, minmax=False, lasso=False",0.541666667,0.282608696,0.464285714,0.351351351
"config=3,  shuffle=True, pca=True, scal=False, minmax=True, lasso=True",0.541666667,0.489473684,0.492857143,0.466666667
"config=5,  shuffle=True, pca=True, scal=False, minmax=True, lasso=True",0.541666667,0.282608696,0.464285714,0.351351351
"config=5,  shuffle=True, pca=False, scal=True, minmax=False, lasso=True",0.541666667,0.282608696,0.464285714,0.351351351
"config=5,  shuffle=True, pca=False, scal=False, minmax=True, lasso=True",0.541666667,0.452380952,0.478571429,0.41978022
"config=6,  shuffle=True, pca=True, scal=False, minmax=False, lasso=False",0.541666667,0.282608696,0.464285714,0.351351351
